Station	Instrument	Longitude(DecDeg)	Latitude(DecDeg)	Time(ISO8601)	Depth(m)
FB-drifter_021_065	IgotU#9999	-55.360980	47.519990	2011-07-05T00:49:00	 10.
FB-drifter_021_065	IgotU#9999	-55.360630	47.520080	2011-07-05T00:53:00	 10.
FB-drifter_021_065	IgotU#9999	-55.360320	47.520110	2011-07-05T00:58:00	 10.
FB-drifter_021_065	IgotU#9999	-55.359940	47.520070	2011-07-05T01:03:00	 10.
FB-drifter_021_065	IgotU#9999	-55.359640	47.520220	2011-07-05T01:07:00	 10.
FB-drifter_021_065	IgotU#9999	-55.359210	47.520170	2011-07-05T01:12:00	 10.
FB-drifter_021_065	IgotU#9999	-55.358980	47.520230	2011-07-05T01:17:00	 10.
FB-drifter_021_065	IgotU#9999	-55.358580	47.520250	2011-07-05T01:22:00	 10.
FB-drifter_021_065	IgotU#9999	-55.358150	47.520260	2011-07-05T01:26:00	 10.
FB-drifter_021_065	IgotU#9999	-55.357890	47.520280	2011-07-05T01:31:00	 10.
FB-drifter_021_065	IgotU#9999	-55.357590	47.520280	2011-07-05T01:36:00	 10.
FB-drifter_021_065	IgotU#9999	-55.357320	47.520280	2011-07-05T01:40:00	 10.
FB-drifter_021_065	IgotU#9999	-55.357070	47.520290	2011-07-05T01:45:00	 10.
FB-drifter_021_065	IgotU#9999	-55.356800	47.520230	2011-07-05T01:50:00	 10.
FB-drifter_021_065	IgotU#9999	-55.356600	47.520280	2011-07-05T01:54:00	 10.
FB-drifter_021_065	IgotU#9999	-55.356300	47.520220	2011-07-05T01:59:00	 10.
FB-drifter_021_065	IgotU#9999	-55.356030	47.520260	2011-07-05T02:04:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355880	47.520290	2011-07-05T02:09:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355590	47.520260	2011-07-05T02:13:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355380	47.520220	2011-07-05T02:18:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355210	47.520220	2011-07-05T02:23:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355100	47.520230	2011-07-05T02:27:00	 10.
FB-drifter_021_065	IgotU#9999	-55.355020	47.520260	2011-07-05T02:32:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354950	47.520290	2011-07-05T02:37:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354800	47.520390	2011-07-05T02:42:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354710	47.520460	2011-07-05T02:47:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354630	47.520460	2011-07-05T02:57:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354570	47.520480	2011-07-05T03:03:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354470	47.520480	2011-07-05T03:08:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354390	47.520480	2011-07-05T03:13:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354300	47.520480	2011-07-05T03:17:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354190	47.520430	2011-07-05T03:22:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354230	47.520430	2011-07-05T03:27:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354200	47.520390	2011-07-05T03:31:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354220	47.520320	2011-07-05T03:36:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354250	47.520340	2011-07-05T03:41:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354350	47.520220	2011-07-05T03:50:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354450	47.520050	2011-07-05T03:55:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354450	47.520070	2011-07-05T04:00:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354440	47.519880	2011-07-05T04:04:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354410	47.519820	2011-07-05T04:09:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354330	47.519680	2011-07-05T04:14:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354260	47.519620	2011-07-05T04:18:00	 10.
FB-drifter_021_065	IgotU#9999	-55.354020	47.519090	2011-07-05T04:42:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353900	47.518950	2011-07-05T04:47:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353780	47.518860	2011-07-05T04:51:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353650	47.518420	2011-07-05T05:01:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353470	47.518140	2011-07-05T05:05:00	 10.
FB-drifter_021_065	IgotU#9999	-55.353360	47.517720	2011-07-05T05:10:00	 10.
